name,markdown_url
"An archive of Markdown files is available at","https://developers.cloudflare.com/markdown.zip/index.md"
"[Build Agents on Cloudflare](","https://developers.cloudflare.com/agents/index.md"
"[Patterns](","https://developers.cloudflare.com/agents/patterns/index.md"
"[x402](","https://developers.cloudflare.com/agents/x402/index.md"
"[Calling LLMs](","https://developers.cloudflare.com/agents/concepts/calling-llms/index.md"
"[Human in the Loop](","https://developers.cloudflare.com/agents/concepts/human-in-the-loop/index.md"
"[Concepts](","https://developers.cloudflare.com/agents/concepts/index.md"
"[Tools](","https://developers.cloudflare.com/agents/concepts/tools/index.md"
"[Agents](","https://developers.cloudflare.com/agents/concepts/what-are-agents/index.md"
"[Workflows](","https://developers.cloudflare.com/agents/concepts/workflows/index.md"
"[Agents API](","https://developers.cloudflare.com/agents/api-reference/agents-api/index.md"
"[Browse the web](","https://developers.cloudflare.com/agents/api-reference/browse-the-web/index.md"
"[Calling Agents](","https://developers.cloudflare.com/agents/api-reference/calling-agents/index.md"
"[Configuration](","https://developers.cloudflare.com/agents/api-reference/configuration/index.md"
"[HTTP and Server-Sent Events](","https://developers.cloudflare.com/agents/api-reference/http-sse/index.md"
"[Retrieval Augmented Generation](","https://developers.cloudflare.com/agents/api-reference/rag/index.md"
"[API Reference](","https://developers.cloudflare.com/agents/api-reference/index.md"
"[Run Workflows](","https://developers.cloudflare.com/agents/api-reference/run-workflows/index.md"
"[Schedule tasks](","https://developers.cloudflare.com/agents/api-reference/schedule-tasks/index.md"
"[Store and sync state](","https://developers.cloudflare.com/agents/api-reference/store-and-sync-state/index.md"
"[Using AI Models](","https://developers.cloudflare.com/agents/api-reference/using-ai-models/index.md"
"[Using WebSockets](","https://developers.cloudflare.com/agents/api-reference/websockets/index.md"
"[Build a Human-in-the-loop Agent](","https://developers.cloudflare.com/agents/guides/anthropic-agent-patterns/index.md"
"[Build a Remote MCP Client](","https://developers.cloudflare.com/agents/guides/build-mcp-client/index.md"
"[Implement Effective Agent Patterns](","https://developers.cloudflare.com/agents/guides/human-in-the-loop/index.md"
"[Guides](","https://developers.cloudflare.com/agents/guides/index.md"
"[Build a Remote MCP server](","https://developers.cloudflare.com/agents/guides/remote-mcp-server/index.md"
"[Test a Remote MCP Server](","https://developers.cloudflare.com/agents/guides/test-remote-mcp-server/index.md"
"[Getting started](","https://developers.cloudflare.com/agents/getting-started/index.md"
"[Build a Chat Agent](","https://developers.cloudflare.com/agents/getting-started/build-a-chat-agent/index.md"
"[Prompt an AI model](","https://developers.cloudflare.com/agents/getting-started/prompting/index.md"
"[Testing your Agents](","https://developers.cloudflare.com/agents/getting-started/testing-your-agent/index.md"
"[Authorization](","https://developers.cloudflare.com/agents/model-context-protocol/authorization/index.md"
"[Model Context Protocol (MCP)](","https://developers.cloudflare.com/agents/model-context-protocol/index.md"
"[McpAgent — API Reference](","https://developers.cloudflare.com/agents/model-context-protocol/mcp-agent-api/index.md"
"[MCP server portals](","https://developers.cloudflare.com/agents/model-context-protocol/mcp-portal/index.md"
"[Cloudflare's own MCP servers](","https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/index.md"
"[Tools](","https://developers.cloudflare.com/agents/model-context-protocol/tools/index.md"
"[Transport](","https://developers.cloudflare.com/agents/model-context-protocol/transport/index.md"
"[Platform](","https://developers.cloudflare.com/agents/platform/index.md"
"[Limits](","https://developers.cloudflare.com/agents/platform/limits/index.md"
"[prompt.txt](","https://developers.cloudflare.com/agents/platform/prompttxt/index.md"
"[Prompt Engineering](","https://developers.cloudflare.com/agents/platform/prompting/index.md"
"[AI Assistant](","https://developers.cloudflare.com/ai-gateway/ai/index.md"
"[REST API reference](","https://developers.cloudflare.com/ai-gateway/api-reference/index.md"
"[Changelog](","https://developers.cloudflare.com/ai-gateway/changelog/index.md"
"[Architectures](","https://developers.cloudflare.com/ai-gateway/demos/index.md"
"[Getting started](","https://developers.cloudflare.com/ai-gateway/get-started/index.md"
"[Header Glossary](","https://developers.cloudflare.com/ai-gateway/glossary/index.md"
"[Cloudflare AI Gateway](","https://developers.cloudflare.com/ai-gateway/index.md"
"[Authenticated Gateway](","https://developers.cloudflare.com/ai-gateway/configuration/authentication/index.md"
